long,lat,order,piece,linkid,group,citycode
-0.073746,51.5091156,1,1,0,0.1,london
-0.0737822,51.508952,2,1,0,0.1,london
-0.0738788,51.5088151,3,1,0,0.1,london
-0.0739405,51.5086899,4,1,0,0.1,london
-0.074041,51.5082608,5,1,0,0.1,london
-0.0741524,51.5077817,6,1,0,0.1,london
-0.0742435,51.50727,7,1,0,0.1,london
-0.0742704,51.507149,8,1,0,0.1,london
-0.074324,51.5070063,9,1,0,0.1,london
-0.0744648,51.5067909,10,1,0,0.1,london
-0.074847,51.5061999,11,1,0,0.1,london
-0.0752038,51.5056874,12,1,0,0.1,london
-0.0754465,51.5053226,13,1,0,0.1,london
-0.0757188,51.5049428,14,1,0,0.1,london
-0.0762123,51.5042073,15,1,0,0.1,london
-0.0764443,51.5038509,16,1,0,0.1,london
-0.0770639,51.5028975,17,1,0,0.1,london
-0.0776727,51.5022547,1,1,1,1.1,london
-0.0776714,51.5022631,2,1,1,1.1,london
-0.0775883,51.5023683,3,1,1,1.1,london
-0.0773402,51.502698,4,1,1,1.1,london
-0.0776298,51.5022422,1,1,2,2.1,london
-0.0776218,51.5022556,2,1,2,2.1,london
-0.0775105,51.5024108,3,1,2,2.1,london
-0.0773562,51.5026162,4,1,2,2.1,london
-0.0772986,51.5026922,5,1,2,2.1,london
-0.077088,51.5029017,1,1,3,3.1,london
-0.07719,51.5027473,2,1,3,3.1,london
-0.0772905,51.5026154,3,1,3,3.1,london
-0.0773925,51.5024709,4,1,3,3.1,london
-0.0770424,51.5028884,1,1,4,4.1,london
-0.0773562,51.5024576,2,1,4,4.1,london
-0.1396787,51.5023148,1,1,5,5.1,london
-0.1390162,51.502587,2,1,5,5.1,london
-0.1375008,51.5032047,3,1,5,5.1,london
-0.1363474,51.5036822,4,1,5,5.1,london
-0.1396653,51.5022748,1,1,6,6.1,london
-0.1390591,51.5025219,2,1,6,6.1,london
-0.1376268,51.5031179,3,1,6,6.1,london
-0.1363018,51.5036555,4,1,6,6.1,london
-0.1361972,51.5036589,1,1,7,7.1,london
-0.1370957,51.5032815,2,1,7,7.1,london
-0.1386327,51.5026471,3,1,7,7.1,london
-0.1393944,51.5023115,4,1,7,7.1,london
-0.1361623,51.5036405,1,1,8,8.1,london
-0.1372835,51.5031563,2,1,8,8.1,london
-0.1384959,51.5026504,3,1,8,8.1,london
-0.1393703,51.5022798,4,1,8,8.1,london
-0.1394065,51.5023006,1,1,9,9.1,london
-0.1396573,51.502198,2,1,9,9.1,london
-0.1397726,51.5021571,3,1,9,9.1,london
-0.1398249,51.5021379,4,1,9,9.1,london
-0.1399067,51.5021153,5,1,9,9.1,london
-0.1393703,51.5022798,1,1,10,10.1,london
-0.1395017,51.5022247,2,1,10,10.1,london
-0.1396653,51.5021587,3,1,10,10.1,london
-0.13979,51.5021145,4,1,10,10.1,london
-0.1398866,51.5020861,5,1,10,10.1,london
-0.1399067,51.5021153,1,1,11,11.1,london
-0.1399161,51.5021111,2,1,11,11.1,london
-0.1400261,51.5020944,3,1,11,11.1,london
-0.1402004,51.5021103,4,1,11,11.1,london
-0.1403694,51.5021462,5,1,11,11.1,london
-0.1405022,51.5021763,6,1,11,11.1,london
-0.1405907,51.5021829,7,1,11,11.1,london
-0.1410641,51.5021754,8,1,11,11.1,london
-0.1414959,51.5021846,9,1,11,11.1,london
-0.1417749,51.5021963,10,1,11,11.1,london
-0.1398866,51.5020861,1,1,12,12.1,london
-0.1399979,51.5020702,2,1,12,12.1,london
-0.1401092,51.5020711,3,1,12,12.1,london
-0.1402259,51.5020894,4,1,12,12.1,london
-0.1403305,51.5021078,5,1,12,12.1,london
-0.140474,51.5021412,6,1,12,12.1,london
-0.1405692,51.5021487,7,1,12,12.1,london
-0.1408938,51.5021437,8,1,12,12.1,london
-0.1410922,51.5021462,9,1,12,12.1,london
-0.1415294,51.502152,10,1,12,12.1,london
-0.1416636,51.5021562,11,1,12,12.1,london
-0.1417628,51.5021629,12,1,12,12.1,london
-0.1417628,51.5021629,1,1,13,13.1,london
-0.1423475,51.5021763,2,1,13,13.1,london
-0.1438576,51.502228,3,1,13,13.1,london
-0.1450673,51.5022698,4,1,13,13.1,london
-0.1473606,51.5023582,5,1,13,13.1,london
-0.1482242,51.5023866,6,1,13,13.1,london
-0.149513,51.5024593,7,1,13,13.1,london
-0.1495653,51.5024593,8,1,13,13.1,london
-0.1417749,51.5021963,1,1,14,14.1,london
-0.1430261,51.502228,2,1,14,14.1,london
-0.145306,51.5023082,3,1,14,14.1,london
-0.1478192,51.5023983,4,1,14,14.1,london
-0.1488841,51.5024534,5,1,14,14.1,london
-0.1495653,51.5024835,6,1,14,14.1,london
-0.1496243,51.5026371,1,1,15,15.1,london
-0.1495278,51.502577,2,1,15,15.1,london
-0.1494071,51.5025469,3,1,15,15.1,london
-0.1487124,51.5025219,4,1,15,15.1,london
-0.1449144,51.5023766,5,1,15,15.1,london
-0.1426104,51.5022798,6,1,15,15.1,london
-0.1420203,51.5022581,7,1,15,15.1,london
-0.1420163,51.5022681,1,1,16,16.1,london
-0.1419935,51.5022681,2,1,16,16.1,london
-0.1414745,51.5022481,3,1,16,16.1,london
-0.1412129,51.5022464,4,1,16,16.1,london
-0.14082,51.5022706,5,1,16,16.1,london
-0.1405571,51.5022731,6,1,16,16.1,london
-0.1403412,51.5022481,7,1,16,16.1,london
-0.1402125,51.5021996,8,1,16,16.1,london
-0.1420216,51.5022372,1,1,17,17.1,london
-0.1419881,51.5022397,2,1,17,17.1,london
-0.1416542,51.5022272,3,1,17,17.1,london
-0.1413806,51.5022163,4,1,17,17.1,london
-0.1410306,51.5022247,5,1,17,17.1,london
-0.1406872,51.5022439,6,1,17,17.1,london
-0.1405035,51.5022389,7,1,17,17.1,london
-0.1403359,51.5022155,8,1,17,17.1,london
-0.1402366,51.5021788,9,1,17,17.1,london
-0.1499274,51.5026329,1,1,18,18.1,london
-0.1499784,51.5025711,2,1,18,18.1,london
-0.1500602,51.5025043,3,1,18,18.1,london
-0.1501675,51.5024501,4,1,18,18.1,london
-0.1505712,51.5023006,5,1,18,18.1,london
-0.1507924,51.502218,6,1,18,18.1,london
-0.1510526,51.502117,7,1,18,18.1,london
-0.1511572,51.5020694,8,1,18,18.1,london
-0.1512484,51.5020444,9,1,18,18.1,london
-0.1513369,51.5020151,10,1,18,18.1,london
-0.151404,51.5020118,11,1,18,18.1,london
-0.1498792,51.5026387,1,1,19,19.1,london
-0.1499382,51.5025644,2,1,19,19.1,london
-0.1500468,51.5024893,3,1,19,19.1,london
-0.1501568,51.5024317,4,1,19,19.1,london
-0.1503928,51.5023365,5,1,19,19.1,london
-0.150598,51.5022622,6,1,19,19.1,london
-0.1508716,51.5021562,7,1,19,19.1,london
-0.1511478,51.502051,8,1,19,19.1,london
-0.1512726,51.5020076,9,1,19,19.1,london
-0.151345,51.5019859,10,1,19,19.1,london
-0.1513839,51.5019742,11,1,19,19.1,london
-0.1514067,51.5019751,12,1,19,19.1,london
-0.1498255,51.5026296,1,1,20,20.1,london
-0.1498818,51.502567,2,1,20,20.1,london
-0.1500025,51.5024751,3,1,20,20.1,london
-0.1501809,51.50239,4,1,20,20.1,london
-0.1505618,51.5022422,5,1,20,20.1,london
-0.15072,51.5021846,6,1,20,20.1,london
-0.1509628,51.5020853,7,1,20,20.1,london
-0.1511317,51.5020293,8,1,20,20.1,london
-0.1512605,51.5019843,9,1,20,20.1,london
-0.1513423,51.5019534,10,1,20,20.1,london
-0.1514027,51.5019442,11,1,20,20.1,london
-0.1497866,51.5026329,1,1,21,21.1,london
-0.1498201,51.5025686,2,1,21,21.1,london
-0.1499127,51.5024893,3,1,21,21.1,london
-0.1499905,51.5024501,4,1,21,21.1,london
-0.1501554,51.5023825,5,1,21,21.1,london
-0.1505417,51.5022238,6,1,21,21.1,london
-0.1507442,51.5021462,7,1,21,21.1,london
-0.1510432,51.502036,8,1,21,21.1,london
-0.1511894,51.5019859,9,1,21,21.1,london
-0.151286,51.50195,10,1,21,21.1,london
-0.1513638,51.5019208,11,1,21,21.1,london
-0.1514067,51.5019166,12,1,21,21.1,london
-0.151404,51.5020118,1,1,22,22.1,london
-0.151467,51.5020135,2,1,22,22.1,london
-0.1515837,51.5020327,3,1,22,22.1,london
-0.1516548,51.5020644,4,1,22,22.1,london
-0.1517299,51.5021061,5,1,22,22.1,london
-0.151809,51.5021504,6,1,22,22.1,london
-0.1518908,51.5022172,7,1,22,22.1,london
-0.1519445,51.5022806,8,1,22,22.1,london
-0.1520464,51.5024668,9,1,22,22.1,london
-0.1521966,51.5027181,10,1,22,22.1,london
-0.15221,51.5027573,11,1,22,22.1,london
-0.1522073,51.5028124,12,1,22,22.1,london
-0.1514067,51.5019751,1,1,23,23.1,london
-0.1515327,51.5019901,2,1,23,23.1,london
-0.1516454,51.5020151,3,1,23,23.1,london
-0.1517406,51.5020661,4,1,23,23.1,london
-0.1518519,51.5021328,5,1,23,23.1,london
-0.1519176,51.5021738,6,1,23,23.1,london
-0.152033,51.5023382,7,1,23,23.1,london
-0.1521832,51.502622,8,1,23,23.1,london
-0.1522529,51.5027364,9,1,23,23.1,london
-0.1522663,51.5027723,10,1,23,23.1,london
-0.1522529,51.5028182,11,1,23,23.1,london
-0.1514778,51.5017705,1,1,24,24.1,london
-0.1515689,51.5018357,2,1,24,24.1,london
-0.151754,51.5019926,3,1,24,24.1,london
-0.1518586,51.5020794,4,1,24,24.1,london
-0.1519364,51.5021596,5,1,24,24.1,london
-0.152092,51.5023599,6,1,24,24.1,london
-0.1522449,51.5026304,7,1,24,24.1,london
-0.1522985,51.5027306,8,1,24,24.1,london
-0.1523039,51.502774,9,1,24,24.1,london
-0.1523226,51.5028174,10,1,24,24.1,london
-0.15232,51.5028374,11,1,24,24.1,london
-0.1515099,51.5017522,1,1,25,25.1,london
-0.1517487,51.5019358,2,1,25,25.1,london
-0.1518667,51.5020343,3,1,25,25.1,london
-0.151982,51.5021629,4,1,25,25.1,london
-0.1521537,51.5023783,5,1,25,25.1,london
